Date,Rate,Country
1/2/2017,100,Cambodia
1/2/2017,100,Lao PDR
1/2/2017,100,Myanmar
1/2/2017,100,Vietnam
1/2/2017,100,Thailand
1/3/2017,99.93,Cambodia
1/3/2017,99.91,Lao PDR
1/3/2017,99.67,Myanmar
1/3/2017,99.8,Vietnam
1/3/2017,100.31,Thailand
1/4/2017,100.16,Cambodia
1/4/2017,100,Lao PDR
1/4/2017,99.13,Myanmar
1/4/2017,99.71,Vietnam
1/4/2017,100,Thailand
1/5/2017,100.27,Cambodia
1/5/2017,100.01,Lao PDR
1/5/2017,99.45,Myanmar
1/5/2017,99.5,Vietnam
1/5/2017,99.61,Thailand
1/6/2017,100.08,Cambodia
1/6/2017,100,Lao PDR
1/6/2017,99.34,Myanmar
1/6/2017,98.99,Vietnam
1/6/2017,99.78,Thailand
1/9/2017,100.14,Cambodia
1/9/2017,100.07,Lao PDR
1/9/2017,99.71,Myanmar
1/9/2017,99.08,Vietnam
1/9/2017,99.53,Thailand
1/10/2017,100.05,Cambodia
1/10/2017,100.07,Lao PDR
1/10/2017,99.78,Myanmar
1/10/2017,99.03,Vietnam
1/10/2017,99.27,Thailand
1/11/2017,100.38,Cambodia
1/11/2017,100.07,Lao PDR
1/11/2017,99.96,Myanmar
1/11/2017,99.03,Vietnam
1/11/2017,98.97,Thailand
1/12/2017,99.87,Cambodia
1/12/2017,100.16,Lao PDR
1/12/2017,100.33,Myanmar
1/12/2017,99.03,Vietnam
1/12/2017,98.74,Thailand
1/13/2017,99.83,Cambodia
1/13/2017,100.16,Lao PDR
1/13/2017,100.07,Myanmar
1/13/2017,99.02,Vietnam
1/13/2017,98.91,Thailand
1/16/2017,99.83,Cambodia
1/16/2017,100.16,Lao PDR
1/16/2017,99.52,Myanmar
1/16/2017,99.03,Vietnam
1/16/2017,98.91,Thailand
1/17/2017,100.05,Cambodia
1/17/2017,100.07,Lao PDR
1/17/2017,99.67,Myanmar
1/17/2017,99.03,Vietnam
1/17/2017,98.49,Thailand
