"Reporter","Partner","Group_Code","Description","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y"
"Cambodia","Lao PDR","1","Animal",89604.76,"-97.03940059",-97.03,-29.58,438.06,10.00,"COW",1,-1
"Cambodia","Lao PDR","14","Machinery/Electrical",1453988.21,"18.75924675",18.75,-29.58,19.66,10.00,"STAR",2,1
"Cambodia","Lao PDR","15","Transportation",98861.93,"178.2451758",100.00,-29.58,7.69,7.69,"STAR",1,1
"Cambodia","Lao PDR","3","Food Products",49252.67,"-81.33713734",-81.33,-29.58,1.35,1.35,"COW",1,-1
"Cambodia","Lao PDR","9","Wood",60394.36,"-88.28956771",-88.28,-29.58,0.05,0.05,"DOG",-1,-1
"Cambodia","Myanmar","10","Textiles and Clothing",586.31,"-99.54132481",-99.54,-70.99,0.02,0.02,"DOG",-2,-1
"Cambodia","Myanmar","12","Stone and Glass",1665.64,"-98.24339231",-98.24,-70.99,0.96,0.96,"DOG",-1,-1
"Cambodia","Myanmar","13","Metals",60138.92,"-89.16304714",-89.16,-70.99,3.41,3.41,"COW",2,-1
"Cambodia","Myanmar","15","Transportation",1759.86,"-92.31805436",-92.31,-70.99,0.75,0.75,"DOG",-1,-1
"Cambodia","Myanmar","9","Wood",253444.23,"24.2842484",24.28,-70.99,1.20,1.20,"STAR",1,1
"Cambodia","Thailand","1","Animal",7082.09,"-85.22710277",-85.22,-64.96,0.65,0.65,"DOG",-1,-1
"Cambodia","Thailand","10","Textiles and Clothing",1140217.14,"-68.07573375",-68.07,-64.96,0.14,0.14,"DOG",-1,-1
"Cambodia","Thailand","11","Footwear",4822193.87,"-97.14276955",-97.14,-64.96,10.42,10.00,"COW",1,-1
"Cambodia","Thailand","12","Stone and Glass",1792845.88,"-60.27619515",-60.27,-64.96,3.55,3.55,"STAR",1,1
"Cambodia","Thailand","13","Metals",49377836.28,"-66.60209637",-66.60,-64.96,9.55,9.55,"COW",1,-1
"Cambodia","Thailand","14","Machinery/Electrical",1666074.91,"-24.35338801",-24.35,-64.96,0.42,0.42,"INTRO",-1,1
"Cambodia","Thailand","15","Transportation",612399.34,"-66.19061223",-66.19,-64.96,0.89,0.89,"DOG",-1,-1
"Cambodia","Thailand","2","Vegetable",12366840.32,"-10.34390557",-10.34,-64.96,3.24,3.24,"STAR",1,1
"Cambodia","Thailand","3","Food Products",660570.39,"-79.334548",-79.33,-64.96,0.34,0.34,"DOG",-1,-1
"Cambodia","Thailand","4","Minerals",221169.28,"-64.16996772",-64.16,-64.96,15.18,10.00,"STAR",1,1
"Cambodia","Thailand","6","Chemicals",11048311.92,"-76.38954986",-76.38,-64.96,12.04,10.00,"COW",2,-1
"Cambodia","Thailand","7","Plastic or Rubber",997961.92,"-70.84930584",-70.84,-64.96,0.27,0.27,"DOG",-2,-1
"Cambodia","Thailand","8","Hides and Skins",550147.60,"-79.41775352",-79.41,-64.96,0.22,0.22,"DOG",-1,-1
"Cambodia","Thailand","9","Wood",7987668.23,"-61.19163467",-61.19,-64.96,0.12,0.12,"INTRO",-1,1
"Cambodia","Viet Nam","1","Animal",28213.29,"-95.7090418",-95.70,-72.53,3.00,3.00,"COW",1,-1
