"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","Group_Code","Description"
"Cambodia","Lao PDR","01","Animals; live",89604.76,"-97.0394005937305",-97.03,-18.30,1321.32,10.00,"COW",1,-1,1.00,"Animal"
"Cambodia","Lao PDR","24","Tobacco and manufactured tobacco substitutes",49252.67,"-81.3371373448191",-81.33,-18.30,12.05,10.00,"COW",1,-1,3.00,"Food Products"
"Cambodia","Lao PDR","60","Fabrics; knitted or crocheted",52114.95,"-89.8949406324526",-89.89,-18.30,9.94,9.94,"COW",1,-1,10.00,"Textiles and Clothing"
"Cambodia","Lao PDR","63","Textiles, made up articles; sets; worn clothing and worn textile articles; rags",8279.41,"Infinity",100.00,-18.30,0.29,0.29,"INTRO",-1,1,10.00,"Textiles and Clothing"
"Cambodia","Lao PDR","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1453988.21,"18.759246746299",18.75,-18.30,19.68,10.00,"STAR",1,1,15.00,"Transportation"
"Cambodia","Lao PDR","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",91554.67,"Infinity",100.00,-18.30,19.54,10.00,"STAR",1,1,16.00,"Miscellaneous"
"Cambodia","Lao PDR","99","Other products",7307.26,"-78.651508130953",-78.65,-18.30,10.45,10.00,"COW",1,-1,16.00,"Miscellaneous"
"Cambodia","Myanmar","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",3.49,"Infinity",100.00,-10.34,9.62101295075919e-03,9.62101295075919e-03,"INTRO",-1,1,9.00,"Wood"
"Cambodia","Myanmar","52","Cotton",586.31,"-99.5413248109708",-99.54,-10.34,11.60,10.00,"COW",1,-1,10.00,"Textiles and Clothing"
"Cambodia","Myanmar","55","Man-made staple fibres",14005.69,"-71.6339479042257",-71.63,-10.34,95.43,10.00,"COW",1,-1,10.00,"Textiles and Clothing"
"Cambodia","Myanmar","56","Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",10.29,"-96.8948972509732",-96.89,-10.34,0.35,0.35,"DOG",-1,-1,10.00,"Textiles and Clothing"
"Cambodia","Myanmar","58","Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",51.80,"Infinity",100.00,-10.34,1.11,1.11,"STAR",1,1,10.00,"Textiles and Clothing"
"Cambodia","Myanmar","59","Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",16842.44,"2155.22080287084",100.00,-10.34,80.55,10.00,"STAR",1,1,10.00,"Textiles and Clothing"
"Cambodia","Myanmar","60","Fabrics; knitted or crocheted",207811.74,"142.089620988054",100.00,-10.34,218.74,10.00,"STAR",1,1,10.00,"Textiles and Clothing"
