CD_Code,Description,Reporter,Year,Partner,Value
1,Animal & Animal Products,Cambodia,2008,United states,1323521.6
1,Animal & Animal Products,Cambodia,2008,China (People's Republic of),386805.44
1,Animal & Animal Products,Cambodia,2008,Hong Kong,296681.93
1,Animal & Animal Products,Cambodia,2008,Korea; Republic of,143359.66
1,Animal & Animal Products,Cambodia,2008,Thailand,136977.77
1,Animal & Animal Products,Cambodia,2008,Others,126031.76
1,Animal & Animal Products,Cambodia,2009,United states,3083467.14
1,Animal & Animal Products,Cambodia,2009,China (People's Republic of),359138.79
1,Animal & Animal Products,Cambodia,2009,Hong Kong,356257.46
1,Animal & Animal Products,Cambodia,2009,Others,195926.24
1,Animal & Animal Products,Cambodia,2009,Thailand,102360.2
1,Animal & Animal Products,Cambodia,2009,Vietnam,80423.52
1,Animal & Animal Products,Cambodia,2010,United states,769355.76
1,Animal & Animal Products,Cambodia,2010,China (People's Republic of),584424.68
1,Animal & Animal Products,Cambodia,2010,Japan,546593.9
1,Animal & Animal Products,Cambodia,2010,Korea; Republic of,444628.23
1,Animal & Animal Products,Cambodia,2010,Others,310642.58
1,Animal & Animal Products,Cambodia,2010,Hong Kong,277097.99
1,Animal & Animal Products,Cambodia,2011,Japan,1388400.53
1,Animal & Animal Products,Cambodia,2011,China (People's Republic of),733044.58
1,Animal & Animal Products,Cambodia,2011,United states,633490.36
1,Animal & Animal Products,Cambodia,2011,Others,392219.32
1,Animal & Animal Products,Cambodia,2011,Lao PDR,344880.1
1,Animal & Animal Products,Cambodia,2011,Vietnam,186511.25
1,Animal & Animal Products,Cambodia,2012,Others,1976210.94
1,Animal & Animal Products,Cambodia,2012,Singapore,48130.38
1,Animal & Animal Products,Cambodia,2012,Malaysia,37620.91
1,Animal & Animal Products,Cambodia,2012,United states,16087.26
1,Animal & Animal Products,Cambodia,2012,Korea; Republic of,150.03
1,Animal & Animal Products,Cambodia,2012,United Kingdom,15.54
1,Animal & Animal Products,Cambodia,2013,China (People's Republic of),496492.66
1,Animal & Animal Products,Cambodia,2013,Vietnam,354570.51
1,Animal & Animal Products,Cambodia,2013,Hong Kong,179655.9
1,Animal & Animal Products,Cambodia,2013,Korea; Republic of,168354.46
1,Animal & Animal Products,Cambodia,2013,Others,116965.44
1,Animal & Animal Products,Cambodia,2013,Thailand,106953.91
1,Animal & Animal Products,Cambodia,2014,China (People's Republic of),468618.13
1,Animal & Animal Products,Cambodia,2014,Hong Kong,186208.07
1,Animal & Animal Products,Cambodia,2014,Taiwan,121799.92
1,Animal & Animal Products,Cambodia,2014,Korea; Republic of,108589.06
1,Animal & Animal Products,Cambodia,2014,Thailand,107339.66
1,Animal & Animal Products,Cambodia,2014,Others,101654.81
1,Animal & Animal Products,Cambodia,2015,Lao PDR,409212.3
1,Animal & Animal Products,Cambodia,2015,China (People's Republic of),385284.02
1,Animal & Animal Products,Cambodia,2015,Taiwan,178347.41
1,Animal & Animal Products,Cambodia,2015,Others,102654.83
1,Animal & Animal Products,Cambodia,2015,Senegal,47154.73
1,Animal & Animal Products,Cambodia,2015,Vietnam,45114.41
1,Animal & Animal Products,Cambodia,2016,Lao PDR,3026574.95
1,Animal & Animal Products,Cambodia,2016,Vietnam,657505.59
1,Animal & Animal Products,Cambodia,2016,China (People's Republic of),578877.99
