"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","GrowthRCA_ImportHS2_Group_Code","GrowthRCA_ImportHS2_Description","ProductGroup_Group_Code","ProductGroup_Description"
"Cambodia","Lao PDR","09","Coffee, tea, mate and spices",301913.94,"-68.118759329373",-68.11,-65.60,284.49,10.00,"COW",1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Lao PDR","30","Pharmaceutical products",10.01,"-64.1218637992832",-64.12,-65.60,2.67561958489026e-04,2.67561958489026e-04,"INTRO",-1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Lao PDR","36","Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",30523.23,"-25.5798706562883",-25.57,-65.60,148.91,10.00,"STAR",1,1,"6","Plastics / Rubbers",6.00,"Chemicals"
"Cambodia","Lao PDR","39","Plastics and articles thereof",6766.30,"-98.6408086520606",-98.64,-65.60,0.06,0.06,"DOG",-1,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Cambodia","Lao PDR","83","Metal; miscellaneous products of base metal",148996.27,"-24.1797378049342",-24.17,-65.60,12.12,10.00,"STAR",1,1,"12","Metals",13.00,"Metals"
"Cambodia","Lao PDR","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2336824.64,"-83.7579962962311",-83.75,-65.60,8.76,8.76,"COW",1,-1,"14","Transportation",15.00,"Transportation"
"Cambodia","Lao PDR","99","Other products",549.05,"-94.8439667226673",-94.84,-65.60,1.50,1.50,"COW",1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Myanmar","22","Beverages, spirits and vinegar",3600.97,"0.00249938903822651",2.49938903822651e-03,18.16,1.02,1.02,"COW",1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Myanmar","39","Plastics and articles thereof",96.61,"-99.424442687634",-99.42,18.16,0.01,0.01,"DOG",-2,-1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Cambodia","Myanmar","40","Rubber and articles thereof",6254.60,"Infinity",100.00,18.16,2.68,2.68,"STAR",1,1,"7","Raw Hides, Skins, Leather, & Furs",7.00,"Plastic or Rubber"
"Cambodia","Myanmar","44","Wood and articles of wood; wood charcoal",48917.98,"8.05158947535827",8.05,18.16,29.35,10.00,"COW",1,-1,"9","Textiles",9.00,"Wood"
"Cambodia","Myanmar","48","Paper and paperboard; articles of paper pulp, of paper or paperboard",257.58,"Infinity",100.00,18.16,0.06,0.06,"INTRO",-1,1,"9","Textiles",9.00,"Wood"
"Cambodia","Myanmar","55","Man-made staple fibres",122800.90,"53.1571149751265",53.15,18.16,8.59,8.59,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Myanmar","58","Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",841.07,"Infinity",100.00,18.16,0.32,0.32,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Myanmar","96","Miscellaneous manufactured articles",12613.24,"-13.6161694194868",-13.61,18.16,5.42,5.42,"COW",1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Myanmar","99","Other products",1630.44,"-84.6938947937613",-84.69,18.16,64.00,10.00,"COW",2,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","01","Animals; live",1719150.26,"-67.5983306362416",-67.59,-63.10,4.26,4.26,"COW",1,-1,"1","Animal & Animal Products",1.00,"Animal"
