CD_Code,Description,Reporter,Year,Partner,Value
1,Animal & Animal Products,Cambodia,2008,Thailand,2472096.72
1,Animal & Animal Products,Cambodia,2008,Vietnam,1394508.93
1,Animal & Animal Products,Cambodia,2008,Others,989773.54
1,Animal & Animal Products,Cambodia,2008,Singapore,661687.84
1,Animal & Animal Products,Cambodia,2008,United Kingdom,346426.27
1,Animal & Animal Products,Cambodia,2008,New Zealand,262627.23
1,Animal & Animal Products,Cambodia,2009,Vietnam,3933291.2
1,Animal & Animal Products,Cambodia,2009,Others,1135106.99
1,Animal & Animal Products,Cambodia,2009,Thailand,1115722.33
1,Animal & Animal Products,Cambodia,2009,United Kingdom,731861.26
1,Animal & Animal Products,Cambodia,2009,Singapore,546142.51
1,Animal & Animal Products,Cambodia,2009,Australia,514780.7
1,Animal & Animal Products,Cambodia,2010,Thailand,3655739.29
1,Animal & Animal Products,Cambodia,2010,Vietnam,2109318.22
1,Animal & Animal Products,Cambodia,2010,Others,1220964.54
1,Animal & Animal Products,Cambodia,2010,Singapore,925779.92
1,Animal & Animal Products,Cambodia,2010,New Zealand,390393.89
1,Animal & Animal Products,Cambodia,2010,France,311751.09
1,Animal & Animal Products,Cambodia,2011,Thailand,9938458.61
1,Animal & Animal Products,Cambodia,2011,Vietnam,2230246.62
1,Animal & Animal Products,Cambodia,2011,Others,1817791.09
1,Animal & Animal Products,Cambodia,2011,Singapore,1059160.47
1,Animal & Animal Products,Cambodia,2011,France,629774.12
1,Animal & Animal Products,Cambodia,2011,Australia,541321.42
1,Animal & Animal Products,Cambodia,2012,Thailand,15085671.7
1,Animal & Animal Products,Cambodia,2012,Vietnam,1997064.16
1,Animal & Animal Products,Cambodia,2012,Others,1644736.51
1,Animal & Animal Products,Cambodia,2012,Singapore,1167537.74
1,Animal & Animal Products,Cambodia,2012,France,899621.39
1,Animal & Animal Products,Cambodia,2012,Australia,510941.76
1,Animal & Animal Products,Cambodia,2013,Thailand,12013257.75
1,Animal & Animal Products,Cambodia,2013,Vietnam,3238765.84
1,Animal & Animal Products,Cambodia,2013,Others,2510338.77
1,Animal & Animal Products,Cambodia,2013,Singapore,1330567.74
1,Animal & Animal Products,Cambodia,2013,France,1169200.58
1,Animal & Animal Products,Cambodia,2013,China (People's Republic of),1031369.26
1,Animal & Animal Products,Cambodia,2014,Thailand,15494017.59
1,Animal & Animal Products,Cambodia,2014,Others,5889588.09
1,Animal & Animal Products,Cambodia,2014,France,2709737.45
1,Animal & Animal Products,Cambodia,2014,Vietnam,2680062.76
1,Animal & Animal Products,Cambodia,2014,Australia,2334481.6
1,Animal & Animal Products,Cambodia,2014,Singapore,1422119.1
1,Animal & Animal Products,Cambodia,2015,Thailand,22809994.42
1,Animal & Animal Products,Cambodia,2015,Vietnam,4825907.72
1,Animal & Animal Products,Cambodia,2015,Others,4578010.28
1,Animal & Animal Products,Cambodia,2015,Australia,3607063.96
1,Animal & Animal Products,Cambodia,2015,France,1876402.14
1,Animal & Animal Products,Cambodia,2015,New Zealand,1213782.85
1,Animal & Animal Products,Cambodia,2016,Thailand,21641124.13
1,Animal & Animal Products,Cambodia,2016,Others,6673699.13
1,Animal & Animal Products,Cambodia,2016,Australia,6142867.6
1,Animal & Animal Products,Cambodia,2016,Vietnam,5545161.56
1,Animal & Animal Products,Cambodia,2016,France,2777836.83
1,Animal & Animal Products,Cambodia,2016,New Zealand,1525099.01
1,Animal & Animal Products,Cambodia,2017,Thailand,5586118.71
1,Animal & Animal Products,Cambodia,2017,Vietnam,1796840.27
1,Animal & Animal Products,Cambodia,2017,Others,1347892.47
1,Animal & Animal Products,Cambodia,2017,France,561915.27
1,Animal & Animal Products,Cambodia,2017,Australia,433208.95
1,Animal & Animal Products,Cambodia,2017,New Zealand,286015.63
1,Animal & Animal Products,Lao PDR,2008,Thailand,19169015.08
1,Animal & Animal Products,Lao PDR,2008,Malaysia,1319938
1,Animal & Animal Products,Lao PDR,2008,Vietnam,661547.98
1,Animal & Animal Products,Lao PDR,2008,Singapore,20555.08
1,Animal & Animal Products,Lao PDR,2008,Others,18384.69
1,Animal & Animal Products,Lao PDR,2008,China (People's Republic of),8280.75
1,Animal & Animal Products,Lao PDR,2009,Thailand,30946601.95
1,Animal & Animal Products,Lao PDR,2009,Vietnam,678266.8
